First Name,Last Name,Title,Company,Website,Person Linkedin Url,segment
Katya,Lainé,"Pioneer in Conversational Voice AI Agents for Business, since 2016                                                          Co-Founder & CEO @TALKR.ai President AI Commission @numeum",speaky.ai,speaky.ai,https://linkedin.com/in/katyalaine-talkr,INFLUENCER_PLATFORMS
Evan,Sirlin,CEO/Co Founder  Puretalk.AI Patented  Humanized Conversational AI / The Voice of AI,speaky.ai,speaky.ai,https://linkedin.com/in/evansirlin,INFLUENCER_PLATFORMS
Vijeta,Avijeet,Co-Founder & CTO,speaky.ai,speaky.ai,https://linkedin.com/in/vijeta,INFLUENCER_PLATFORMS
Julian,Gonzalez,"Co-Founder, Mighty Cultures - a culture change and transformation agency",CultureX,culturex.ai,https://linkedin.com/in/gonzalezjulian,INFLUENCER_PLATFORMS
David,Stedeford,Chief Executive Officer,Bamboo,bamboo.app,https://linkedin.com/in/david-stedeford-71775318,INFLUENCER_PLATFORMS
Kevin,Tahara,CEO & Managing Director,Bamboo,bamboo.app,https://linkedin.com/in/kevintahara,INFLUENCER_PLATFORMS
Jennifer,Snyders,BScArch Architect & CEO,Bamboo,bamboo.app,https://linkedin.com/in/jennifer-snyders,INFLUENCER_PLATFORMS
Vaidas,Virbukas,CEO,Rasooc,rasooc.com,https://linkedin.com/in/vaidas-virbukas-27a96320,INFLUENCER_PLATFORMS
Giorgio,Raso,"Presidente presso Ass. S.oe,S",Rasooc,rasooc.com,https://linkedin.com/in/giorgio-raso-ba590b14,INFLUENCER_PLATFORMS
Ivan,Franicevic,Chief Executive Officer,Rasooc,rasooc.com,https://linkedin.com/in/ivanfranicevic,INFLUENCER_PLATFORMS
Arvids,Piladzis,Owner RASA un KO,Rasooc,rasooc.com,https://linkedin.com/in/arvids-piladzis-02256a59,INFLUENCER_PLATFORMS
Claudio,Gioiosa,Ceo - Co-Owner,para.co,para.co,https://linkedin.com/in/claudio-gioiosa-40544850,INFLUENCER_PLATFORMS
Jiří,Šindler,CEO 5Promotion s.r.o.,para.co,para.co,https://linkedin.com/in/ji%C5%99%C3%AD-%C5%A1indler-64a1b91a,INFLUENCER_PLATFORMS
Tony,Sabatino,Chief Executive Officer,para.co,para.co,https://linkedin.com/in/tony-sabatino-8a80b49a,INFLUENCER_PLATFORMS
Hetal,Kumavat,Founder - The Collab Theory,nextcollab.in,nextcollab.in,https://linkedin.com/in/hetal-kumavat-37241a175,INFLUENCER_PLATFORMS
Sandeep,Thakur,Founder CEO,nextcollab.in,nextcollab.in,https://linkedin.com/in/sandeepthakur,INFLUENCER_PLATFORMS
Nazim,Siddiqui,CEO,nextcollab.in,nextcollab.in,https://linkedin.com/in/nazim-siddiqui-769aa2126,INFLUENCER_PLATFORMS
Sonia,Gameiro,CEO of Tēnaka,t2.world,t2.world,https://linkedin.com/in/sonia-gameiro-504325,INFLUENCER_PLATFORMS
Sameer,Datta,CEO,The Techie Media,thetechiemedia.in,https://linkedin.com/in/sameer-datta,INFLUENCER_PLATFORMS
Josh,Kirschner,Founder & CEO,The Techie Media,thetechiemedia.in,https://linkedin.com/in/josh-kirschner-03a35b,INFLUENCER_PLATFORMS
Amit,Singh,Co-Founder,galvor.ai,galvor.ai,https://linkedin.com/in/amitsingh178,INFLUENCER_PLATFORMS
Gavin,Grimes,Director and Co-Founder,galvor.ai,galvor.ai,https://linkedin.com/in/gavingrimes,INFLUENCER_PLATFORMS
Daniel,Victorino,Co-founder & CEO,galvor.ai,galvor.ai,https://linkedin.com/in/danielvictorino,INFLUENCER_PLATFORMS
Gaurav,Bajaj,Founder & CEO,galvor.ai,galvor.ai,https://linkedin.com/in/bajajg,INFLUENCER_PLATFORMS
Kevin,CREUSY,Co-CEO,uplify.app,uplify.app,https://linkedin.com/in/kevin-creusy-79682924,INFLUENCER_PLATFORMS
Nick,Rotola,ceo,uplify.app,uplify.app,https://linkedin.com/in/nick-rotola-b87776149,INFLUENCER_PLATFORMS
Salman,Emam,FASTARZ  founder & CEO,fanztar.com,fanztar.com,https://linkedin.com/in/salman-emam-ba491251,INFLUENCER_PLATFORMS
Arash,Jafari,Co Founder/CEO,fanztar.com,fanztar.com,https://linkedin.com/in/arash-jafari-fanafzar,INFLUENCER_PLATFORMS
Anwar,EL BARAKA,"CEO & Founder, XAYone",myax.me,myax.me,https://linkedin.com/in/anwar-el-baraka-2a151b1a,INFLUENCER_PLATFORMS
Ivan,Palmer,"Co-Founder, The SuperUsers Group",superusers.agency,superusers.agency,https://linkedin.com/in/ipalmersug,INFLUENCER_PLATFORMS
Michele,Marcon,Co-Founder presso Super Agency Srl,superusers.agency,superusers.agency,https://linkedin.com/in/michelemarcon,INFLUENCER_PLATFORMS
Francisco,Leite de Castro,Founder & CEO,superusers.agency,superusers.agency,https://linkedin.com/in/franciscoleitedecastro,INFLUENCER_PLATFORMS
Mattia,Ballan,"MBA, Co-Owner Super Agency",superusers.agency,superusers.agency,https://linkedin.com/in/mattiaballan,INFLUENCER_PLATFORMS
Mariia,Artemova,"General producer agenda.agency, co-founder reface technology",superusers.agency,superusers.agency,https://linkedin.com/in/mariia-artemova-86489b198,INFLUENCER_PLATFORMS
Edward,Prentice,CEO,YCreator,ycreator.carrd.co,https://linkedin.com/in/edwardprenticeiii,INFLUENCER_PLATFORMS
Lindsey,Davidson,Founder + CEO,lenny.fm,lenny.fm,https://linkedin.com/in/lindsey-davidson-5042b890,INFLUENCER_PLATFORMS
Leonardo,F. Queiroz,CEO empresa QORE,qoreups.com,qoreups.com,https://linkedin.com/in/leonardo-f-queiroz-3a79393b,INFLUENCER_PLATFORMS
Joe,Mullis,Founder & CEO,qoreups.com,qoreups.com,https://linkedin.com/in/joe-mullis-a048051,INFLUENCER_PLATFORMS
Ryan,Moore,"Follower of Christ, Husband, Father, Business Owner, CEO",realclever.com,realclever.com,https://linkedin.com/in/ryan-moore-18030935,INFLUENCER_PLATFORMS
Hilda,Leonor Arzeno Carrasco,CEO,chefadora.com,chefadora.com,https://linkedin.com/in/hilda-leonor-arzeno-carrasco-4b555633,INFLUENCER_PLATFORMS
Hermann,Mayer,CEO & Fouder en Chef en Casa,chefadora.com,chefadora.com,https://linkedin.com/in/hermann-mayer-85482833,INFLUENCER_PLATFORMS
Patrick,Hiesinger,CEO,nextgen-innovators.de,nextgen-innovators.de,https://linkedin.com/in/patrick-hiesinger-5666ba1b,INFLUENCER_PLATFORMS
Joana,Stella Kompa,Founder & CEO,nextgen-innovators.de,nextgen-innovators.de,https://linkedin.com/in/joanakompa,INFLUENCER_PLATFORMS
Sam,Jabado,CEO and Founder of Go-Go-Go.World - The Unified and Secure Technology Platform of The Future,goadgo,goadgo.app,https://linkedin.com/in/sammie-jabado,INFLUENCER_PLATFORMS
Leo,Chevailler,Co-Founder & CMO,goadgo,goadgo.app,https://linkedin.com/in/leo-chevailler-b2360590,INFLUENCER_PLATFORMS
Kalanilayam,Qatar,CEO,qlaym.com,qlaym.com,https://linkedin.com/in/kalanilayam-qatar-a8764b82,INFLUENCER_PLATFORMS
Andrew,Butler,Chief Executive Officer,tychon,tychon.app,https://linkedin.com/in/andrew-butler-266108b5,INFLUENCER_PLATFORMS
Ralph,Guilder,Co-Founder,tychon,tychon.app,https://linkedin.com/in/ralph-guilder-513161164,INFLUENCER_PLATFORMS
Eric,P. Whittleton,President,tychon,tychon.app,https://linkedin.com/in/eric-p-whittleton-77b25a8,INFLUENCER_PLATFORMS
akira,konoike,FeelerSystemZ - CEO,feelter.com,feelter.com,https://linkedin.com/in/akira-konoike-26180296,INFLUENCER_PLATFORMS
Kevin,McKeigue,Owner,fetch-ireland.social,fetch-ireland.social,https://linkedin.com/in/kevin-mckeigue-39325585,INFLUENCER_PLATFORMS
Walter,Walsh,Chief Executive Officer,fetch-ireland.social,fetch-ireland.social,https://linkedin.com/in/walter-walsh-19272836a,INFLUENCER_PLATFORMS
Camilla,Boyer,Founder & CEO,Narrate,narrateapp.com,https://linkedin.com/in/camillaboyer,INFLUENCER_PLATFORMS
Daniel,Sieberg,"Founder and CEO, ScreenGeni.us",streamgenie.ai,streamgenie.ai,https://linkedin.com/in/danielsieberg,INFLUENCER_PLATFORMS
Vidhya,T. V.,Founder and CEO,streamgenie.ai,streamgenie.ai,https://linkedin.com/in/vidhya-t-v-2700824,INFLUENCER_PLATFORMS
Chris,Ruddick,Co-Founder,spliced.io,spliced.io,https://linkedin.com/in/chrisruddick,INFLUENCER_PLATFORMS
Fraser,B.,Founder & CEO,Influexer,influexer.com,https://linkedin.com/in/fraser-b-2aa057194,INFLUENCER_PLATFORMS
Antoine,Mussard,CEO - Our job: finding clients for you.,Influexer,influexer.com,https://linkedin.com/in/antoinemussard,INFLUENCER_PLATFORMS
Dixon,Jones,CEO,inlinkz.com,inlinkz.com,https://linkedin.com/in/dixonjones,INFLUENCER_PLATFORMS
Angela,Labrador,Graduado Social / CMO de Grupo2000 / Co-Founder de Linked Lunch,inlinkz.com,inlinkz.com,https://linkedin.com/in/angela-labrador,INFLUENCER_PLATFORMS
Andrew,Beegle,Co-Founder,themidgame.com,themidgame.com,https://linkedin.com/in/andrewbeegle,INFLUENCER_PLATFORMS
Sophian,ATIGUI,Founder,themidgame.com,themidgame.com,https://linkedin.com/in/sophian-atigui-b6aa4196,INFLUENCER_PLATFORMS
Rohan,Chaudhary,AI Startup Founder,gotchosen.ai,gotchosen.ai,https://linkedin.com/in/rohan-chaudhary-a9376723a,INFLUENCER_PLATFORMS
Alvaro,del Castillo,Founder & CEO,tapdancedigital.io,tapdancedigital.io,https://linkedin.com/in/alvarodelcastillo,INFLUENCER_PLATFORMS
Tamanna,Brave,Co-founder and COO of TAP Digital Services,tapdancedigital.io,tapdancedigital.io,https://linkedin.com/in/tamanna-brave-a8569115,INFLUENCER_PLATFORMS
Jagger,Hung,CEO & Co-Founder,thetopspotonline.com,thetopspotonline.com,https://linkedin.com/in/jagger-hung-287649ba,INFLUENCER_PLATFORMS
Jonathan,Cheong,Founder and Director,thetopspotonline.com,thetopspotonline.com,https://linkedin.com/in/jonathancheong,INFLUENCER_PLATFORMS
Shaun,Pham,Founder & CEO,thetopspotonline.com,thetopspotonline.com,https://linkedin.com/in/shaunpham,INFLUENCER_PLATFORMS
Remco,Dolman,CEO,thetopspotonline.com,thetopspotonline.com,https://linkedin.com/in/remco-dolman,INFLUENCER_PLATFORMS
